Datum,Totalt antal passager
2 augusti,281 100
3 augusti,277 500
4 augusti,280 500
5 augusti,278 100
6 augusti,279 000
9 augusti,320 200
10 augusti,326 200
11 augusti,330 000
12 augusti,338 600
13 augusti,332 500
16 augusti,356 600
17 augusti,367 700
18 augusti,370 900
19 augusti,381 200
20 augusti,371 100
23 augusti,373 100
24 augusti,382 500
25 augusti,385 000
26 augusti,388 500
27 augusti,393 400
30 augusti,383 100
31 augusti,386 600
