Datum,Totalt antal passager
3 juni,261 311
7 juni,384 050
8 juni,392 138
9 juni,392 257
10 juni,382 523
13 juni,375 490
14 juni,385 053
15 juni,380 475
16 juni,385 859
17 juni,405 857
20 juni,382 102
21 juni,385 128
22 juni,393 501
23 juni,366 408
27 juni,346 210
28 juni,349 454
29 juni,349 702
30 juni,351 405
