Datum,Totalt antal passager
4 maj,381 500
5 maj,383 100
6 maj,384 300
7 maj,390 200
8 maj,393 600
11 maj,375 400
12 maj,384 600
13 maj,389 900
14 maj,392 900
15 maj,392 300
18 maj,383 200
19 maj,391 700
22 maj,268 600
25 maj,381 400
26 maj,390 400
27 maj,397 700
28 maj,401 500
29 maj,402 100
