Månad,Antal dagar med trängselskatt,Totalt antal passager,Andel ej beskattade passager
Januari,22,7 495 000,24 %
Februari,21,7 572 000,25 %
Mars,18,6 562 000,25 %
April,21,8 037 000,25 %
Maj,21,7 892 000,26 %
Juni,18,6 580 000,26 %
Augusti,21,6 931 000,27 %
September,22,8 077 000,28 %
Oktober,22,8 257 000,28 %
November,20,7 385 000,28 %
December,19,6 904 000,28 %
