Datum,Totalt antal passager
2 april,355 300
3 april,365 600
4 april,374 000
10 april,343 800
11 april,355 600
12 april,365 500
13 april,361 200
16 april,359 400
17 april,365 600
18 april,375 500
19 april,371 300
20 april,368 300
23 april,363 500
24 april,373 500
25 april,381 200
26 april,391 200
27 april,390 400
