Datum,Totalt antal passager
2 mars,356 100
3 mars,365 900
4 mars,369 900
5 mars,373 600
6 mars,368 600
9 mars,356 800
10 mars,350 000
11 mars,356 700
12 mars,367 200
13 mars,367 500
16 mars,358 000
17 mars,372 200
18 mars,376 700
19 mars,375 800
20 mars,370 800
23 mars,357 600
24 mars,369 600
25 mars,382 500
26 mars,380 400
27 mars,376 300
30 mars,367 000
31 mars,376 000
