Datum,Totalt antal passager
2 maj,376 619
3 maj,379 011
4 maj,384 197
5maj,383 862
6 maj,385 291
9 maj,365 660
10 maj,375 311
11 maj,375 930
12 maj,379 205
13 maj,378 842
16 maj,369 896
17 maj,378 154
18 maj,383 702
19 maj,385 813
20 maj,388 142
23 maj,372 052
24 maj,379 725
25 maj,386 600
26 maj,386 470
27 maj,395 350
30 maj,380 060
31 maj,388 457
