Datum,Totalt antal passager
1 december,366 000
2 december,361 600
5 december,352 600
6 december,358 700
7 december,363 300
8 december,367 600
9 december,354 300
12 december,355 300
13 december,362 500
14 december,368 500
15 december,369 000
16 december,365 700
19 december,352 700
20 december,367 900
21 december,368 600
22 december,360 200
23 december,285 100
27 december,275 900
28 december,286 800
29 december,284 800
30 december,266 400
