Datum,Totalt antal passager
1 juni,394 000
4 juni,365 000
7 juni,376 400
8 juni,373 600
11 juni,373 100
12 juni,381 200
13 juni,377 200
14 juni,380 200
15 juni,376 300
18 juni,370 000
19 juni,380 900
20 juni,385 000
21 juni,356 000
25 juni,349 700
26 juni,354 900
27 juni,354 500
28 juni,353 200
29 juni,344 100
