Datum,Totalt antal passager
1 mars,334 191
2 mars,336 296
3 mars,333 534
4 mars,323 792
7 mars,349 056
8 mars,363 437
9 mars,366 586
10 mars,370 270
11 mars,368 861
14 mars,352 712
15 mars,366 775
16 mars,363 938
17 mars,366 005
18 mars,354 575
21 mars,353 400
22 mars,366 903
23 mars,369 015
24 mars,372 167
25 mars,371 339
28 mars,359 154
29 mars,372 931
30 mars,377 640
31 mars,376 486
