Datum,Totalt antal passager
3 maj,376 100
4 maj,385 000
5 maj,387 700
6 maj,392 700
7 maj,396 400
10 maj,379 300
11 maj,391 100
14 maj,277 300
17 maj,377 500
18 maj,384 600
19 maj,390 100
20 maj,392 700
21 maj,390 500
24 maj,383 400
25 maj,394 700
26 maj,396 800
27 maj,400 800
28 maj,401 400
31 maj,382 700
