Name,Latitude,Longitude
114510,Lillhärdal,61.8547,14.0921
166940,Lillviken-Roparudden V,66.486,16.4173
63510,Ljungby A,56.8525,13.8794
122330,Ljusnedal,62.5493,12.6043
162860,Luleå Flygplats,65.5434,22.1193
162870,Luleå-Bergnäset,65.5746,22.11
53430,Lund,55.6932,13.2251
128390,Lungö A,62.6417,18.0899
148330,Lycksele A,64.5481,18.713
137110,Lännäs,63.1663,17.6543
85050,Malexander A,58.0716,15.233
180750,Malmberget,67.1681,20.6389
85240,Malmslätt,58.4004,15.5327
52350,Malmö A,55.5715,13.0708
103410,Malung,60.6717,13.7058
103420,Malung A,60.6765,13.7072
158750,Malå,65.1812,18.7421
158740,Malå-Brännan A,65.1512,18.5935
83440,Mariestad,58.7136,13.823
63280,Markaryd,56.4577,13.6159
172920,Markusvinsa,66.7259,22.894
155720,Marsliden,65.0251,15.3668
133180,Mattmar V,63.3054,13.8767
166910,Mierkenis A,66.6802,16.1053
104580,Mora A,60.9601,14.5041
62130,Munka-Ljungby,56.2287,12.9834
75240,Målilla,57.3964,15.8315
75250,Målilla A,57.3845,15.8009
81050,Måseskär A,58.0937,11.3312
133190,Mörsil,63.3183,13.6458
191910,Naimakka A,68.6762,21.5229
170930,Nattavaara A,66.7516,20.9238
83420,Naven A,58.6998,13.1109
191720,Nedre Soppero V,68.044,21.755
71190,Nidingen A,57.3036,11.9049
179960,Nikkaluokta A,67.8527,19.0212
134090,Norderön,63.1611,14.3661
81540,Nordkoster A,58.892,11.0038
125170,Norrberg-Norrhög V,62.2632,15.6709
86340,Norrköping-SMHI,58.5828,16.147
149540,Norsjö,64.9093,19.4746
149560,Norsjö A,64.9253,19.3744
62140,Nyhamnsläge,56.2451,12.5401
162980,Orrbyn,65.9446,22.116
63220,Osby,56.3742,13.9376
76160,Oskarshamn,57.267,16.4114
87400,Oxelösund,58.6772,17.1199
172940,Paharova A,66.8094,22.3315
183750,Pajala A,67.2036,23.3899
182910,Parkalompolo A,67.7301,22.8219
149340,Petisträsk A,64.5659,19.6943
161710,Pite-Rönnskär A,65.034,21.5609
161790,Piteå,65.2625,21.474
74440,Prästkulla,57.7236,14.9829
74490,Ramsjöholm,57.8429,14.4317
83280,Remningstorp,58.4529,13.6671
189720,Rensjön A,68.073,19.8351
108110,Risinge,60.1748,18.224
147420,Risträsk V,64.7343,17.4034
177930,Ritsem A,67.7255,17.4668
78290,Roma V,57.5436,18.4253
65160,Ronneby-Bredåkra,56.2619,15.2742
53180,Rynge V,55.4741,13.6683
73480,Rångedala A,57.7846,13.1642
162790,Rödkallen A,65.3121,22.3709
81040,Rörastrand,58.0578,11.6454
134150,Rösta,63.2443,14.5535
116230,Röstebo,61.3882,16.4295
182810,Saittarova A,67.3363,22.2288
96550,Sala,59.9036,16.6579
96560,Sala A,59.9093,16.6843
145580,Saxnäs V,64.9678,15.3791
126440,Sillre V,62.7629,16.7387
86470,Simonstorp_ö,58.7847,16.1544
139120,Skagsudde A,63.1872,19.0199
83270,Skara,58.4072,13.4407
98160,Skarpö A,59.3446,18.7404
66500,Skedemosse,56.823,16.7337
151380,Skellefteå Flygplats,64.6244,21.0717
105070,Skeppsmora V,60.123,15.1226
54290,Skillinge A,55.489,14.3144
83230,Skövde,58.3949,13.8436
157860,Sorsele,65.537,17.529
154730,Stekenjokk A,65.0929,14.5055
98210,Stockholm,59.3417,18.0549
98230,Stockholm A,59.3417,18.0549
97400,Stockholm-Arlanda,59.6269,17.9545
97200,Stockholm-Bromma,59.3537,17.9513
178860,Stora Sjöfallet A,67.4948,18.2907
105220,Stora Spånsberget A,60.3817,15.1374
112530,Storbo V,61.8403,12.288
136360,Storfinnforsen,63.595,16.1846
132170,Storlien-Storvallen A,63.2826,12.1218
132180,Storlien-Visjövalen,63.3028,12.1253
163900,Storön A,65.6972,23.0959
53300,Sturup,55.5231,13.3787
94580,Ställdalen,59.9382,14.8884
127230,Sundsvall-Råsta V,62.4306,17.3447
127310,Sundsvalls Flygplats,62.5246,17.441
93520,Sunne A,59.8639,13.1166
98490,Svanberga A,59.8317,18.6313
124020,Sveg,62.0191,14.1904
124030,Sveg A,62.0462,14.4069
99270,Svenska Högarna,59.4445,19.5059
