Datum,Totalt antal passager
1 september,353 000
2 september,358 000
3 september,363 000
4 september,363 000
5 september,361 000
8 september,355 000
9 september,363 000
10 september,368 000
11 september,366 000
12 september,367 000
15 september,359 000
16 september,370 000
17 september,372 000
18 september,372 000
19 september,376 000
22 september,359 000
23 september,372 000
24 september,378 000
25 september,379 000
26 september,382 000
29 september,366 000
30 september,373 000
