Datum,Totalt antal passager,Antal skattebeslut
3 mars,352 500,107 400
4 mars,366 100,110 400
5 mars,369 500,111 900
6 mars,372 600,113 200
7 mars,371 300,114 100
10 mars,359 500,109 100
11 mars,368 600,111 100
12 mars,373 500,112 700
13 mars,374 300,112 900
14 mars,373 700,114 100
17 mars,364 100,109 900
18 mars,365 500,110 800
19 mars,375 100,114 600
25 mars,333 800,102 400
26 mars,353 500,107 700
27 mars,363 600,111 100
28 mars,359 100,111 300
31 mars,365 100,110 600
