Datum,Totalt antal passager
3 januari,276 801
4 januari,299 160
7 januari,245 404
10 januari,324 743
11 januari,337 277
12 januari,332 431
13 januari,344 245
14 januari,346 579
17 januari,350 174
18 januari,358 695
19 januari,361 418
20 januari,366 089
21 januari,363 680
24 januari,353 306
25 januari,360 183
26 januari,368 765
27 januari,372 005
28 januari,368 317
31 januari,356 400
