Datum,Totalt antal passager
1 oktober,377 900
2 oktober,376 900
3 oktober,382 900
6 oktober,365 800
7 oktober,373 600
8 oktober,378 700
9 oktober,374 100
10 oktober,379 000
13 oktober,358 900
14 oktober,370 200
15 oktober,376 400
16 oktober,377 800
17 oktober,376 400
20 oktober,366 400
21 oktober,374 400
22 oktober,382 400
23 oktober,383 000
24 oktober,388 400
27 oktober,364 100
28 oktober,373 500
29 oktober,374 700
30 oktober,381 700
