Datum,Totalt antal passager
2 januari,270 000
3 januari,292 600
4 januari,299 500
9 januari,319 400
10 januari,330 000
11 januari,335 200
12 januari,340 500
13 januari,337 500
16 januari,331 500
17 januari,344 300
18 januari,346 700
19 januari,352 300
20 januari,346 700
23 januari,333 100
24 januari,346 600
25 januari,356 900
26 januari,356 000
27 januari,353 300
30 januari,344 700
31 januari,354 500
