Datum,Totalt antal passager
1 november,362 100
2 november,365 000
3 november,371 300
4 november,372 100
8 november,367 200
9 november,339 000
10 november,363 800
11 november,377 500
12 november,381 900
15 november,370 400
16 november,378 000
17 november,377 500
18 november,381 800
19 november,379 900
22 november,364 700
23 november,367 500
24 november,351 100
25 november,361 600
26 november,372 600
29 november,358 900
30 november,369 800
