DateTime;Moms;Skatt;Produktkostnad;Bruttomarginal;Total
2017-05-15;2,82;6,2;3,7;1,37;14,09
2017-06-15;2,76;6,2;3,52;1,34;13,82
2017-07-15;2,76;6,2;3,4;1,44;13,8
2017-08-15;2,78;6,2;3,53;1,39;13,9
2017-09-15;2,82;6,2;3,7;1,37;14,09
2017-10-15;2,78;6,2;3,59;1,35;13,92
2017-11-15;2,9;6,2;4,03;1,39;14,52
2017-12-15;2,88;6,2;3,92;1,42;14,42
2018-01-15;2,97;6,43;3,99;1,47;14,86
2018-02-15;2,91;6,43;3,85;1,35;14,54
2018-03-15;2,94;6,43;3,81;1,53;14,71
2018-04-15;3,05;6,43;4,43;1,33;15,24
2018-05-15;3,19;6,43;4,86;1,46;15,94
2018-06-15;3,16;6,43;4,75;1,45;15,79
2018-07-15;3,19;6,44;4,8;1,52;15,95
2018-08-15;3,24;6,44;5,05;1,48;16,21
2018-09-15;3,22;6,44;5;1,43;16,09
2018-10-15;3,18;6,44;4,75;1,52;15,89
2018-11-15;2,99;6,44;4,03;1,49;14,95
2018-12-15;2,87;6,44;3,53;1,5;14,34
2019-01-15;2,93;6,7;3,56;1,46;14,65
2019-02-15;3,01;6,7;3,93;1,42;15,06
2019-03-15;3,12;6,7;4,32;1,44;15,58
2019-04-15;3,3;6,7;5,02;1,46;16,48
2019-05-15;3,38;6,7;5,16;1,65;16,89
2019-06-15;3,2;6,7;4,44;1,64;15,98
2019-07-15;3,2;6,58;4,67;1,53;15,98
2019-08-15;3,15;6,58;4,48;1,55;15,76
;;;;;
;;;;;
;;;;;
