Datum,Totalt antal passager
1 november,357 000
5 november,345 400
6 november,362 500
7 november,364 500
8 november,365 300
9 november,363 600
12 november,349 700
13 november,357 200
14 november,365 900
15 november,365 900
16 november,362 700
19 november,349 300
20 november,358 600
21 november,361 300
22 november,365 000
23 november,370 000
26 november,351 200
27 november,360 400
28 november,361 300
29 november,351 400
30 november,346 800
