Datum,Antal passager
1 oktober,353 900
2 oktober,359 100
3 oktober,361 200
4 oktober,362 800
5 oktober,365 400
8 oktober,347 300
9 oktober,358 500
10 oktober,361 900
11 oktober,364 000
12 oktober,367 500
15 oktober,352 800
16 oktober,361 100
17 oktober,360 000
18 oktober,367 000
19 oktober,364 100
22 oktober,350 100
23 oktober,359 400
24 oktober,363 500
25 oktober,368 900
26 oktober,361 100
29 oktober,343 400
30 oktober,353 900
31 oktober,359 400
