Datum,Totalt antal passager
3 december,344 700
4 december,348 100
5 december,233 700
6 december,303 700
7 december,332 200
10 december,330 200
11 december,340 700
12 december,342 700
13 december,352 800
14 december,344 400
17 december,336 300
18 december,351 100
19 december,352 700
20 december,359 600
21 december,341 100
27 december,250 700
28 december,253 300
