Datum,Totalt antal passager
1 februari,354 200
2 februari,345 900
3 februari,332 600
6 februari,341 000
7 februari,349 800
8 februari,349 900
9 februari,352 600
10 februari,357 400
13 februari,341 300
14 februari,354 700
15 februari,346 000
16 februari,355 600
17 februari,357 400
20 februari,342 300
21 februari,357 000
22 februari,349 900
23 februari,361 900
24 februari,359 500
27 februari,321 900
28 februari,328 600
29 februari,334 200
