Datum,Totalt antal passager
1 mars,315 300
2 mars,328 400
3 mars,337 900
4 mars,339 100
5 mars,333 400
8 mars,356 800
9 mars,371 800
10 mars,372 300
11 mars,374 600
12 mars,378 000
15 mars,360 400
16 mars,370 300
17 mars,371 400
18 mars,278 700
19 mars,267 100
22 mars,358 100
23 mars,368 100
24 mars,377 900
25 mars,382 600
26 mars,379 500
29 mars,367 700
30 mars,381 400
31 mars,389 800
