Datum,Totalt antal passager
1 februari,363 354
2 februari,396 776
3 februari,369 640
4 februari,361 425
7 februari,353 682
8 februari,364 449
9 februari,372 706
10 februari,362 455
11 februari,266 184
14 februari,332 945
15 februari,333 759
16 februari,349 421
17 februari,348 532
18 februari,347 876
21 februari,338 174
22 februari,346 410
23 februari,361 653
24 februari,360 894
25 februari,361 415
28 februari,326 236
