Datum,Antal passager
3 september,371 000
4 september,375 500
5 september,378 100
6 september,379 700
7 september,382 000
10 september,365 500
11 september,382 200
12 september,379 700
13 september,380 300
14 september,387 200
17 september,371 000
18 september,377 900
19 september,364 200
20 september,365 200
21 september,371 000
24 september,357 200
25 september,366 000
26 september,369 200
27 september,370 300
28 september,379 200
