Datum,Totalt antal passager
1 december,380 800
2 december,378 000
3 december,382 800
4 december,382 000
7 december,368 100
8 december,376 400
9 december,384 700
10 december,387 000
11 december,389 800
14 december,371 900
15 december,352 800
16 december,369 800
17 december,319 100
18 december,373 700
21 december,356 600
22 december,359 800
23 december,294 400
28 december,270 000
29 december,271 400
30 december,265 100
