Datum,Totalt antal passager
1 december,373 300
2 december,372 300
3 december,358 000
6 december,360 600
7 december,370 400
8 december,375 000
9 december,377 000
10 december,376 300
13 december,369 600
14 december,375 500
15 december,382 400
16 december,349 300
17 december,352 800
20 december,338 200
21 december,354 800
22 december,354 000
23 december,288 700
27 december,256 800
28 december,277 600
29 december,285 100
30 december,273 100
