Datum,Antal passager
3 oktober,349 800
4 oktober,355 800
5 oktober,359 300
6 oktober,364 000
7 oktober,363 000
10 oktober,346 700
11 oktober,355 900
12 oktober,359 300
13 oktober,360 000
14 oktober,360 600
17 oktober,349 500
18 oktober,356 100
19 oktober,360 200
20 oktober,363 300
21 oktober,365 800
24 oktober,350 100
25 oktober,359 500
26 oktober,362 900
27 oktober,367 300
28 oktober,367 400
31 oktober,341 800
