Datum,Totalt antal passager
2 maj,379 600
3 maj,375 100
4 maj,379 300
7 maj,361 500
8 maj,371 400
9 maj,372 200
10 maj,375 500
11 maj,379 500
14 maj,365 000
15 maj,373 900
18 maj,268 800
21 maj,360 400
22 maj,362 300
23 maj,373 900
24 maj,376 900
25 maj,387 800
28 maj,361 100
29 maj,379 200
30 maj,379 500
31 maj,385 900
